,Make,Vehicle_type,Engine_size_L,Cylinders,Transmission,Fuel_type,Fuel_consumption_city_L_per_100km,Fuel_consumption_hwy_L_per_100km,Fuel_consumption_comb_L_per_100km,Fuel_consumption_comb_mpg,CO2_emissions_g_per_km
3233,toyota,suv_small,2.5,4,AS6,gasoline,10.5,8.2,9.5,30,220
3234,toyota,suv_small,2.5,4,AV6,gasoline,6.9,7.6,7.2,39,169
3235,toyota,suv_small,2.5,4,AS6,gasoline,10.0,7.6,8.9,32,208
3236,toyota,suv_small,2.5,4,AS6,gasoline,10.6,8.1,9.4,30,220
3238,toyota,minivan,3.5,6,AS6,gasoline,13.0,9.5,11.4,25,267
3239,toyota,minivan,3.5,6,AS6,gasoline,14.4,10.2,12.5,23,290
3240,toyota,pickuptruck_small,2.7,4,AS6,gasoline,12.0,10.0,11.1,25,261
3241,toyota,pickuptruck_small,3.5,6,AS6,gasoline,12.6,10.0,11.4,25,267
3242,toyota,pickuptruck_small,2.7,4,AS6,gasoline,12.7,10.5,11.7,24,274
3243,toyota,pickuptruck_small,2.7,4,M5,gasoline,12.4,11.4,11.9,24,279
3244,toyota,pickuptruck_small,3.5,6,AS6,gasoline,13.1,10.5,11.9,24,280
3245,toyota,pickuptruck_small,3.5,6,M6,gasoline,13.6,11.2,12.5,23,292
3246,toyota,pickuptruck_small,3.5,6,M6,gasoline,13.8,11.7,12.9,22,300
3247,toyota,pickuptruck_standard,4.6,8,AS6,gasoline,15.9,12.3,14.3,20,335
3248,toyota,pickuptruck_standard,5.7,8,AS6,gasoline,17.3,13.0,15.4,18,360
3249,toyota,pickuptruck_standard,4.6,8,AS6,gasoline,16.9,12.9,15.1,19,351
3250,toyota,pickuptruck_standard,5.7,8,AS6,gasoline,18.2,14.1,16.3,17,380
3251,toyota,suv_small,2.7,4,AS6,gasoline,11.6,9.0,10.4,27,244
3252,toyota,suv_small,3.5,6,AS6,gasoline,12.5,9.0,10.9,26,256
3253,toyota,suv_small,2.7,4,AS6,gasoline,11.6,9.2,10.5,27,241
3254,toyota,suv_small,3.5,6,AS6,gasoline,12.8,9.3,11.3,25,263
3255,toyota,compact,1.5,4,AS6,gasoline,7.2,5.6,6.4,44,151
3256,toyota,compact,1.5,4,M6,gasoline,7.6,5.7,6.7,42,157
3257,toyota,compact,1.5,4,A4,gasoline,7.8,6.6,7.3,39,170
3258,toyota,compact,1.5,4,M5,gasoline,7.7,6.3,7.1,40,165
3259,volkswagen,compact,1.8,4,AS6,gasoline,9.6,7.0,8.4,34,196
3260,volkswagen,compact,1.8,4,M5,gasoline,9.5,6.9,8.4,34,196
3261,volkswagen,subcompact,1.8,4,AS6,gasoline,9.6,7.0,8.4,34,196
3262,volkswagen,compact,1.8,4,AS6,gasoline,9.7,7.5,8.7,32,203
3263,volkswagen,compact,2.0,4,AM6,electricity,10.7,7.7,9.3,30,217
3264,volkswagen,compact,1.8,4,AS6,gasoline,9.3,6.5,8.1,35,189
3265,volkswagen,compact,1.8,4,M5,gasoline,9.3,6.4,8.0,35,187
3266,volkswagen,compact,2.0,4,AM6,gasoline,9.5,7.2,8.5,33,198
3267,volkswagen,compact,2.0,4,M6,gasoline,9.4,6.9,8.3,34,193
3268,volkswagen,compact,2.0,4,AM6,electricity,10.4,7.9,9.3,30,216
3269,volkswagen,compact,2.0,4,M6,electricity,10.9,7.7,9.4,30,220
3271,volkswagen,stationwagon_small,1.8,4,M5,gasoline,9.5,6.6,8.2,34,192
3272,volkswagen,compact,1.4,4,AS6,gasoline,8.5,6.0,7.3,39,173
3273,volkswagen,compact,1.4,4,M5,gasoline,8.3,5.9,7.2,39,168
3274,volkswagen,compact,1.8,4,AS6,gasoline,9.2,6.4,8.0,35,186
3275,volkswagen,compact,1.8,4,M5,gasoline,9.4,6.4,8.1,35,189
3276,volkswagen,compact,2.0,4,AM6,gasoline,9.8,7.0,8.6,33,201
3277,volkswagen,compact,2.0,4,M6,gasoline,10.1,7.2,8.8,32,207
3278,volkswagen,compact,1.4,4,AM7,electricity,5.7,4.9,5.3,53,124
3279,volkswagen,mid_size,1.8,4,AS6,gasoline,9.4,6.3,8.0,35,187
3280,volkswagen,mid_size,1.8,4,M6,gasoline,9.5,6.4,8.1,35,189
3281,volkswagen,mid_size,3.6,6,AM6,gasoline,11.9,8.5,10.4,27,243
3282,volkswagen,suv_small,2.0,4,AS6,electricity,11.7,9.5,10.7,26,251
3283,volkswagen,suv_small,2.0,4,M6,electricity,13.0,9.0,11.2,25,259
3284,volkswagen,suv_small,2.0,4,AS6,electricity,11.6,9.3,10.6,27,248
3285,volkswagen,suv_standard,3.6,6,AS8,gasoline,14.1,10.4,12.4,23,292
3286,volkswagen,suv_standard,3.0,6,AS8,diesel,11.2,8.4,9.8,29,270
3287,volvo,compact,2.5,5,AS6,gasoline,11.8,8.6,10.3,27,239
3288,volvo,compact,2.0,4,AS8,gasoline,9.6,6.7,8.3,34,193
3289,volvo,compact,2.5,5,AS6,gasoline,11.6,8.2,10.1,28,233
3292,volvo,compact,2.0,4,AS8,electricity,10.6,7.7,9.3,30,218
3293,volvo,compact,2.0,4,AS8,electricity,11.3,8.2,9.9,29,231
3294,volvo,compact,3.0,6,AS6,gasoline,13.0,9.0,11.2,25,259
3296,volvo,mid_size,2.0,4,AS8,gasoline,9.6,6.7,8.3,34,193
3297,volvo,stationwagon_small,2.5,5,AS6,gasoline,11.8,8.6,10.3,27,239
3298,volvo,stationwagon_small,2.0,4,AS8,gasoline,9.6,6.7,8.3,34,193
3299,volvo,stationwagon_small,2.5,5,AS6,gasoline,11.6,8.2,10.1,28,233
3300,volvo,stationwagon_small,2.0,4,AS8,electricity,11.3,8.2,9.9,29,231
3301,volvo,stationwagon_small,3.0,6,AS6,gasoline,13.0,9.0,11.2,25,259
3303,volvo,suv_small,2.0,4,AS8,gasoline,10.3,7.6,9.1,31,213
3304,volvo,suv_small,2.5,5,AS6,gasoline,12.5,9.2,11.0,26,254
3305,volvo,suv_small,2.0,4,AS8,electricity,11.0,8.1,9.7,29,226
3306,volvo,suv_small,2.0,4,AS8,electricity,11.8,9.1,10.6,27,247
3307,volvo,suv_small,3.0,6,AS6,gasoline,13.7,10.1,12.0,24,276
3310,volvo,suv_standard,2.0,4,AS8,electricity,10.6,9.1,10.0,28,232
3311,volvo,suv_standard,2.0,4,AS8,electricity,10.8,9.5,10.2,28,239
3312,volvo,suv_standard,2.0,4,AS8,electricity,11.5,9.5,10.6,27,247
3313,acura,compact,2.4,4,AM8,electricity,9.4,6.8,8.2,34,192
3314,acura,suv_small,3.5,6,AS9,electricity,12.6,9.0,11.0,26,259
3315,acura,suv_small,3.5,6,AS9,electricity,12.2,9.0,10.7,26,251
3316,acura,suv_small,3.0,6,AM7,electricity,9.1,9.0,9.0,31,210
3317,acura,two_seater,3.5,6,AM9,electricity,11.1,10.8,11.0,26,261
3318,acura,suv_small,3.5,6,AS6,electricity,12.4,8.7,10.7,26,250
3319,acura,mid_size,3.5,6,AM7,electricity,8.2,7.8,8.1,35,190
3320,acura,compact,2.4,4,AM8,electricity,9.6,6.6,8.3,34,197
3324,alfa_romeo,mid_size,2.0,4,A8,electricity,10.0,7.2,8.7,32,205
3325,alfa_romeo,mid_size,2.0,4,A8,electricity,10.5,7.7,9.2,31,217
3326,alfa_romeo,mid_size,2.9,6,A8,electricity,13.8,9.6,11.9,24,280
3327,aston_martin,minicompact,5.2,12,A8,electricity,15.5,11.4,13.7,21,322
3328,aston_martin,subcompact,6.0,12,A8,electricity,16.7,10.9,14.1,20,331
3329,aston_martin,minicompact,6.0,12,A8,electricity,17.5,11.4,14.7,19,345
3330,aston_martin,two_seater,6.0,12,AM7,electricity,19.4,12.8,16.4,17,388
3331,aston_martin,two_seater,6.0,12,M7,electricity,23.2,14.4,19.2,15,450
3332,audi,subcompact,2.0,4,AM7,gasoline,9.1,6.8,8.0,35,188
3333,audi,subcompact,2.0,4,AM6,gasoline,9.7,7.5,8.7,32,205
3334,audi,subcompact,2.0,4,AM6,gasoline,10.8,8.0,9.5,30,223
3335,audi,compact,2.0,4,AM7,electricity,8.6,6.4,7.6,37,177
3336,audi,compact,2.0,4,AM7,electricity,9.8,7.7,8.8,32,205
3337,audi,compact,2.0,4,M6,electricity,9.9,7.0,8.6,33,204
3338,audi,stationwagon_small,2.0,4,AM7,electricity,10.2,8.3,9.3,30,217
3339,audi,subcompact,2.0,4,AS8,electricity,11.0,8.0,9.7,29,226
3340,audi,subcompact,2.0,4,M6,electricity,10.4,7.3,9.0,31,210
3341,audi,subcompact,2.0,4,AS8,electricity,11.3,8.2,9.9,29,231
3342,audi,mid_size,2.0,4,AS8,electricity,10.9,7.5,9.4,30,220
3343,audi,mid_size,3.0,6,AS8,electricity,11.5,8.2,10.0,28,238
3345,audi,mid_size,3.0,6,AS8,electricity,12.6,8.0,10.5,27,246
3348,audi,compact,2.0,4,AS6,electricity,11.9,8.4,10.3,27,243
3349,audi,compact,2.0,4,AS6,electricity,11.9,8.4,10.3,27,241
3350,audi,suv_small,2.0,4,AS8,electricity,12.0,8.6,10.5,27,246
3352,audi,suv_standard,2.0,4,AS8,electricity,11.9,9.6,10.8,26,253
3353,audi,suv_standard,3.0,6,AS8,electricity,12.6,9.4,11.1,25,260
3354,audi,two_seater,5.2,10,AM7,electricity,16.5,11.2,14.1,20,330
3356,audi,mid_size,4.0,8,AS8,electricity,16.2,9.3,13.1,22,309
3357,audi,subcompact,2.0,4,AM6,electricity,11.0,8.5,9.9,29,232
3358,audi,subcompact,3.0,6,AM7,electricity,13.0,8.5,11.0,26,259
3363,audi,mid_size,4.0,8,AS8,electricity,16.2,9.9,13.4,21,312
3368,bentley,suv_standard,6.0,12,AS8,electricity,18.8,12.2,15.9,18,370
3373,bentley,mid_size,4.0,8,AS8,electricity,17.0,9.9,13.8,20,321
3374,bentley,mid_size,6.0,12,AS8,electricity,19.6,11.7,16.0,18,375
3375,bentley,mid_size,6.8,8,AS8,electricity,21.3,12.8,17.5,16,407
3376,bentley,mid_size,6.8,8,AS8,electricity,22.2,13.6,18.3,15,430
3377,bmw,subcompact,2.0,4,AS8,electricity,10.0,7.2,8.7,32,207
3378,bmw,subcompact,2.0,4,AS8,electricity,9.8,6.8,8.4,34,197
3379,bmw,subcompact,2.0,4,M6,electricity,11.1,7.3,9.4,30,219
3380,bmw,subcompact,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3381,bmw,subcompact,2.0,4,AS8,electricity,10.2,7.4,9.0,31,210
3382,bmw,compact,2.0,4,AS8,electricity,10.0,6.5,8.4,34,200
3383,bmw,compact,2.0,4,M6,electricity,10.2,6.7,8.6,33,202
3384,bmw,compact,2.0,4,AS8,electricity,10.3,6.9,8.8,32,206
3385,bmw,compact,2.0,4,AS8,diesel,7.9,5.9,7.0,40,189
3386,bmw,stationwagon_small,2.0,4,AS8,diesel,7.9,5.9,7.0,40,189
3387,bmw,compact,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3388,bmw,full_size,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3389,bmw,stationwagon_small,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3390,bmw,compact,3.0,6,AS8,electricity,11.1,7.8,9.6,29,224
3391,bmw,compact,3.0,6,M6,electricity,12.2,8.2,10.4,27,242
3392,bmw,compact,3.0,6,AS8,electricity,11.4,7.8,9.8,29,228
3393,bmw,compact,3.0,6,M6,electricity,12.2,8.5,10.5,27,246
3394,bmw,full_size,3.0,6,AS8,electricity,11.9,8.1,10.2,28,238
3395,bmw,subcompact,2.0,4,AS8,electricity,10.6,7.3,9.1,31,211
3404,bmw,mid_size,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3405,bmw,mid_size,3.0,6,AS8,electricity,11.4,7.8,9.8,29,228
3406,bmw,subcompact,3.0,6,AS8,electricity,12.4,8.4,10.6,27,249
3407,bmw,compact,3.0,6,AS8,electricity,12.4,8.4,10.6,27,249
3408,bmw,subcompact,4.4,8,AS8,electricity,14.7,9.7,12.5,23,292
3409,bmw,compact,4.4,8,AS8,electricity,13.8,9.1,11.7,24,273
3410,bmw,compact,4.4,8,AS8,electricity,14.7,9.7,12.5,23,292
3412,bmw,full_size,4.4,8,AS8,electricity,13.8,9.1,11.7,24,273
3413,bmw,full_size,4.4,8,AS8,electricity,14.7,9.7,12.5,23,292
3416,bmw,subcompact,3.0,6,AM7,electricity,11.8,8.9,10.5,27,245
3417,bmw,subcompact,3.0,6,M6,electricity,13.1,9.2,11.4,25,267
3418,bmw,subcompact,3.0,6,AS8,electricity,11.1,7.8,9.6,29,224
3419,bmw,subcompact,3.0,6,M6,electricity,12.2,8.2,10.4,27,242
3421,bmw,subcompact,3.0,6,M6,electricity,12.5,8.4,10.7,26,250
3422,bmw,subcompact,3.0,6,AS8,electricity,11.4,7.8,9.8,29,228
3424,bmw,compact,3.0,6,AM7,electricity,14.0,9.7,12.1,23,284
3425,bmw,compact,3.0,6,M6,electricity,13.7,9.1,11.7,24,273
3426,bmw,subcompact,3.0,6,AM7,electricity,14.1,9.6,12.1,23,283
3427,bmw,subcompact,3.0,6,M6,electricity,13.7,9.1,11.7,24,273
3430,bmw,compact,4.4,8,AM7,electricity,17.2,11.6,14.7,19,343
3431,bmw,compact,4.4,8,M6,electricity,16.2,10.9,13.8,20,324
3432,bmw,subcompact,4.4,8,AM7,electricity,17.2,11.6,14.7,19,343
3433,bmw,subcompact,4.4,8,M6,electricity,16.2,10.9,13.8,20,324
3436,bmw,full_size,6.6,12,AS8,electricity,17.7,11.9,15.1,19,355
3437,bmw,suv_small,2.0,4,AS8,electricity,10.5,7.4,9.1,31,213
3438,bmw,suv_small,2.0,4,AS8,diesel,8.7,7.1,8.0,35,211
3439,bmw,suv_small,2.0,4,AS8,electricity,11.1,8.5,10.0,28,233
3440,bmw,suv_small,3.0,6,AS8,electricity,12.7,9.1,11.1,25,260
3442,bmw,suv_small,2.0,4,AS8,electricity,11.8,8.6,10.3,27,240
3443,bmw,suv_standard,4.4,8,AS8,electricity,16.6,12.1,14.6,19,341
3444,bmw,suv_standard,3.0,6,AS8,diesel,10.3,8.0,9.3,30,249
3445,bmw,suv_standard,3.0,6,AS8,electricity,13.0,9.8,11.5,25,270
3446,bmw,suv_standard,4.4,8,AS8,electricity,15.6,11.3,13.7,21,320
3450,buick,suv_standard,3.6,6,A6,gasoline,15.7,10.6,13.4,21,315
3451,buick,suv_standard,3.6,6,A6,gasoline,16.0,10.9,13.7,21,322
3452,buick,suv_small,1.4,4,AS6,gasoline,9.3,7.2,8.3,34,194
3453,buick,suv_small,1.4,4,AS6,gasoline,8.6,7.1,7.9,36,185
3454,buick,suv_small,1.4,4,AS6,gasoline,9.8,7.7,8.8,32,208
3455,buick,suv_small,1.4,4,AS6,gasoline,8.9,7.6,8.3,34,196
3457,buick,suv_small,2.5,4,A6,gasoline,11.1,8.4,9.9,29,232
3458,buick,mid_size,3.6,6,AS8,gasoline,11.2,7.5,9.5,30,224
3459,buick,mid_size,3.6,6,AS8,gasoline,11.6,8.1,10.0,28,235
3460,buick,mid_size,2.0,4,AS6,electricity,11.5,8.0,9.9,29,233
3461,buick,mid_size,2.0,4,AS6,electricity,12.1,8.9,10.7,26,250
3462,buick,compact,2.4,4,AS6,gasoline,11.3,7.6,9.7,29,226
3463,cadillac,compact,2.0,4,AS8,electricity,10.6,7.7,9.3,30,217
3464,cadillac,compact,2.0,4,M6,electricity,11.8,8.0,10.1,28,236
3465,cadillac,compact,2.5,4,AS8,gasoline,10.7,7.4,9.2,31,216
3466,cadillac,compact,3.6,6,AS8,gasoline,11.6,8.0,10.0,28,234
3467,cadillac,compact,2.0,4,AS8,electricity,10.8,7.9,9.5,30,222
3468,cadillac,compact,3.6,6,AS8,gasoline,12.2,8.6,10.6,27,248
3469,cadillac,compact,3.6,6,AS8,electricity,13.9,9.4,11.9,24,279
3470,cadillac,compact,3.6,6,M6,electricity,14.4,10.4,12.6,22,295
3471,cadillac,full_size,2.0,4,AS8,electricity,11.0,7.8,9.5,30,223
3472,cadillac,full_size,3.0,6,AS8,electricity,13.0,9.1,11.2,25,263
3473,cadillac,full_size,3.6,6,AS8,gasoline,12.8,8.8,11.0,26,259
3474,cadillac,mid_size,2.0,4,AS8,electricity,11.0,7.8,9.5,30,223
3475,cadillac,mid_size,3.6,6,AS8,gasoline,11.6,8.0,10.0,28,234
3476,cadillac,mid_size,2.0,4,AS8,electricity,11.2,8.2,9.8,29,229
3477,cadillac,mid_size,3.6,6,AS8,gasoline,12.2,8.6,10.6,27,248
3478,cadillac,mid_size,3.6,6,AS8,electricity,15.0,9.9,12.7,22,299
3479,cadillac,mid_size,6.2,8,AS8,electricity,16.5,11.1,14.0,20,329
3480,cadillac,suv_standard,6.2,8,A8,electricity,16.1,11.7,14.1,20,331
3481,cadillac,suv_small,3.6,6,AS8,gasoline,12.1,8.6,10.5,27,245
3482,cadillac,suv_small,3.6,6,AS8,gasoline,12.9,8.9,11.1,25,260
3483,cadillac,full_size,3.6,6,AS6,gasoline,13.2,8.5,11.1,25,260
3484,cadillac,full_size,3.6,6,AS6,gasoline,13.7,9.0,11.6,24,272
3485,cadillac,full_size,3.6,6,AS6,electricity,15.0,10.3,12.8,22,299
3486,chevrolet,subcompact,2.0,4,AS8,electricity,10.9,7.7,9.5,30,222
3487,chevrolet,subcompact,2.0,4,M6,electricity,11.9,8.0,10.1,28,236
3488,chevrolet,subcompact,3.6,6,AS8,gasoline,12.3,8.6,10.6,27,249
3489,chevrolet,subcompact,3.6,6,M6,gasoline,14.4,8.4,11.7,24,274
3490,chevrolet,subcompact,6.2,8,AS8,electricity,14.2,8.7,11.7,24,273
3491,chevrolet,subcompact,6.2,8,M6,electricity,14.3,9.4,12.1,23,284
3492,chevrolet,subcompact,6.2,8,AS10,electricity,19.0,11.6,15.6,18,367
3493,chevrolet,subcompact,6.2,8,M6,electricity,17.2,12.0,14.9,19,349
3494,chevrolet,specialpurposevehicle,2.0,4,AV,gasoline,9.8,9.0,9.4,30,220
3495,chevrolet,pickuptruck_small,2.5,4,A6,gasoline,12.0,9.2,10.7,26,252
3496,chevrolet,pickuptruck_small,2.5,4,M6,gasoline,12.2,9.2,10.9,26,254
3497,chevrolet,pickuptruck_small,2.8,4,A6,diesel,10.8,7.9,9.5,30,255
3498,chevrolet,pickuptruck_small,3.6,6,A8,gasoline,13.4,9.6,11.7,24,274
3499,chevrolet,pickuptruck_small,2.5,4,A6,gasoline,12.7,9.6,11.3,25,263
3500,chevrolet,pickuptruck_small,2.8,4,A6,diesel,12.1,8.4,10.4,27,280
3501,chevrolet,pickuptruck_small,3.6,6,A8,gasoline,14.0,9.9,12.2,23,286
3502,chevrolet,pickuptruck_small,2.8,4,A6,diesel,12.5,10.7,11.7,24,315
3503,chevrolet,pickuptruck_small,3.6,6,A8,gasoline,15.0,13.0,14.1,20,331
3504,chevrolet,two_seater,6.2,8,AS8,electricity,15.2,8.9,12.4,23,290
3505,chevrolet,two_seater,6.2,8,M7,electricity,14.2,9.0,11.9,24,278
3506,chevrolet,two_seater,6.2,8,AS8,electricity,17.6,10.3,14.3,20,336
3507,chevrolet,two_seater,6.2,8,M7,electricity,15.6,10.6,13.4,21,312
3508,chevrolet,compact,1.4,4,AS6,gasoline,7.9,5.9,7.0,40,165
3509,chevrolet,compact,1.4,4,M6,gasoline,8.3,6.0,7.3,39,170
3510,chevrolet,compact,1.4,4,AS6,gasoline,8.1,6.0,7.2,39,169
3511,chevrolet,compact,1.6,4,A9,diesel,7.6,5.0,6.4,44,172
3512,chevrolet,compact,1.6,4,M6,diesel,7.7,4.5,6.3,45,169
3513,chevrolet,compact,1.4,4,AS6,gasoline,8.1,6.2,7.3,39,172
3514,chevrolet,compact,1.4,4,M6,gasoline,8.3,6.4,7.4,38,173
3515,chevrolet,compact,1.4,4,AS6,gasoline,8.4,6.4,7.5,38,176
3516,chevrolet,suv_small,2.4,4,A6,gasoline,11.0,7.5,9.4,30,221
3518,chevrolet,suv_small,2.4,4,A6,ethanol,15.6,11.0,13.6,21,223
3519,chevrolet,suv_small,3.6,6,A6,gasoline,14.1,9.7,12.1,23,285
3520,chevrolet,suv_small,2.4,4,A6,gasoline,11.5,8.3,10.1,28,237
3522,chevrolet,suv_small,2.4,4,A6,ethanol,16.3,11.8,14.2,20,234
3523,chevrolet,suv_small,3.6,6,A6,gasoline,15.0,10.4,13.0,22,304
3524,chevrolet,van_passenger,6.0,8,A6,gasoline,21.8,14.8,18.6,15,438
3525,chevrolet,van_passenger,6.0,8,A6,gasoline,22.3,14.9,19.0,15,445
3526,chevrolet,full_size,2.5,4,AS6,gasoline,10.9,7.9,9.5,30,224
3527,chevrolet,full_size,3.6,6,AS6,gasoline,12.5,8.3,10.6,27,249
3528,chevrolet,full_size,3.6,6,AS6,ethanol,17.0,11.7,14.6,19,240
3529,chevrolet,mid_size,1.5,4,A6,gasoline,8.8,6.5,7.8,36,182
3530,chevrolet,mid_size,2.0,4,A9,electricity,10.7,7.1,9.1,31,212
3531,chevrolet,mid_size,1.8,4,AV,gasoline,4.8,5.5,5.1,55,121
3532,chevrolet,pickuptruck_standard,5.3,8,A6,gasoline,14.6,10.3,12.7,22,297
3533,chevrolet,pickuptruck_standard,5.3,8,A8,gasoline,15.2,10.7,13.1,22,309
3534,chevrolet,pickuptruck_standard,6.2,8,A8,electricity,15.9,11.2,13.8,20,324
3535,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,13.4,10.0,11.9,24,279
3536,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,19.3,14.3,17.1,17,284
3537,chevrolet,pickuptruck_standard,5.3,8,A6,gasoline,14.6,10.3,12.7,22,298
3538,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,19.7,13.9,17.1,17,284
3540,chevrolet,pickuptruck_standard,5.3,8,A8,gasoline,15.9,11.5,13.9,20,327
3541,chevrolet,pickuptruck_standard,6.2,8,A8,electricity,16.0,11.7,14.1,20,330
3542,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,14.1,10.6,12.5,23,294
3543,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,20.2,15.2,18.0,16,294
3545,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,20.7,14.4,17.9,16,315
3546,chevrolet,pickuptruck_standard,5.3,8,A8,gasoline,14.4,11.2,13.0,22,303
3547,chevrolet,compact,1.4,4,AS6,gasoline,8.8,6.6,7.8,36,184
3548,chevrolet,compact,1.4,4,M6,gasoline,8.4,6.3,7.4,38,174
3549,chevrolet,compact,1.8,4,AS6,gasoline,9.7,6.9,8.4,34,197
3550,chevrolet,compact,1.8,4,M5,gasoline,9.2,7.1,8.3,34,194
3551,chevrolet,stationwagon_small,1.4,4,AS6,gasoline,8.8,6.6,7.8,36,184
3552,chevrolet,stationwagon_small,1.4,4,M6,gasoline,8.4,6.3,7.4,38,174
3553,chevrolet,stationwagon_small,1.8,4,AS6,gasoline,9.7,6.9,8.4,34,197
3554,chevrolet,stationwagon_small,1.8,4,M5,gasoline,9.2,7.1,8.3,34,194
3555,chevrolet,subcompact,1.4,4,AV,gasoline,7.8,6.2,7.1,40,167
3556,chevrolet,subcompact,1.4,4,M5,gasoline,8.0,6.2,7.2,39,168
3557,chevrolet,suv_standard,5.3,8,A6,gasoline,15.1,10.4,13.0,22,305
3559,chevrolet,suv_standard,5.3,8,A6,ethanol,20.0,13.5,17.1,17,284
3562,chevrolet,suv_standard,5.3,8,A6,ethanol,22.1,15.4,19.1,15,317
3568,chevrolet,suv_standard,5.3,8,A6,ethanol,20.8,14.5,18.0,16,299
3569,chevrolet,suv_standard,3.6,6,A6,gasoline,15.7,10.6,13.4,21,315
3570,chevrolet,suv_standard,3.6,6,A6,gasoline,16.0,10.9,13.7,21,322
3571,chevrolet,suv_small,1.4,4,AS6,gasoline,9.3,7.2,8.3,34,194
3572,chevrolet,suv_small,1.4,4,M6,gasoline,9.2,7.1,8.2,34,194
3573,chevrolet,suv_small,1.4,4,AS6,gasoline,9.8,7.7,8.8,32,208
3574,chrysler,mid_size,2.4,4,A9,gasoline,10.2,6.6,8.6,33,201
3575,chrysler,mid_size,2.4,4,A9,ethanol,13.9,8.9,11.7,24,192
3576,chrysler,mid_size,3.6,6,A9,gasoline,12.4,7.6,10.2,28,241
3577,chrysler,mid_size,3.6,6,A9,ethanol,16.8,10.4,13.9,20,230
3578,chrysler,mid_size,3.6,6,A9,gasoline,12.8,8.3,10.8,26,252
3579,chrysler,mid_size,3.6,6,A9,ethanol,17.1,11.1,14.4,20,237
3580,chrysler,full_size,3.6,6,A8,gasoline,12.4,7.8,10.3,27,242
3581,chrysler,full_size,5.7,8,A8,gasoline,14.7,9.4,12.3,23,289
3582,chrysler,full_size,3.6,6,A8,gasoline,12.8,8.7,11.0,26,258
3584,chrysler,full_size,3.6,6,A8,ethanol,17.6,12.0,15.0,19,248
3585,chrysler,minivan,3.6,6,A9,gasoline,12.9,8.4,10.9,26,257
3586,chrysler,minivan,3.6,6,A9,gasoline,12.4,8.4,10.6,27,249
3588,dodge,mid_size,5.7,8,M6,electricity,15.6,10.1,13.1,22,307
3589,dodge,mid_size,6.4,8,M6,electricity,16.7,10.4,13.9,20,325
3590,dodge,mid_size,5.7,8,A8,gasoline,14.7,9.4,12.3,23,289
3591,dodge,mid_size,6.4,8,A8,electricity,15.6,9.6,12.9,22,302
3592,dodge,mid_size,3.6,6,A8,gasoline,12.8,8.7,11.0,26,258
3596,dodge,mid_size,6.2,8,M6,electricity,18.1,11.4,15.1,19,352
3597,dodge,full_size,3.6,6,A5,gasoline,13.7,9.0,11.6,24,271
3598,dodge,full_size,3.6,6,A8,gasoline,12.4,7.8,10.3,27,242
3599,dodge,full_size,5.7,8,A5,gasoline,15.6,9.7,12.9,22,302
3600,dodge,full_size,5.7,8,A8,gasoline,14.7,9.4,12.3,23,289
3601,dodge,full_size,6.4,8,A8,electricity,15.6,9.6,12.9,22,302
3602,dodge,full_size,3.6,6,A8,gasoline,12.8,8.7,11.0,26,258
3604,dodge,full_size,3.6,6,A8,ethanol,17.6,12.0,15.0,19,248
3605,dodge,full_size,5.7,8,A5,gasoline,16.0,10.1,13.3,21,312
3608,dodge,suv_standard,3.6,6,A8,gasoline,12.7,9.6,11.3,25,265
3609,dodge,suv_standard,5.7,8,A8,gasoline,16.6,10.7,14.0,20,328
3611,dodge,minivan,3.6,6,A6,ethanol,19.4,13.3,16.7,17,274
3612,dodge,suv_small,2.4,4,A4,gasoline,12.7,9.2,11.1,25,261
3613,dodge,suv_small,3.6,6,A6,gasoline,14.2,9.5,12.1,23,284
3614,dodge,suv_small,3.6,6,A6,ethanol,19.1,13.2,16.4,17,274
3615,dodge,suv_small,3.6,6,A6,gasoline,14.5,10.0,12.4,23,292
3616,dodge,two_seater,8.4,10,M6,electricity,19.9,12.6,16.6,17,387
3617,fiat,two_seater,1.4,4,A6,gasoline,9.3,6.5,8.0,35,187
3618,fiat,two_seater,1.4,4,M6,gasoline,9.0,6.7,7.9,36,185
3619,fiat,minicompact,1.4,4,A6,gasoline,8.7,7.1,8.0,35,186
3620,fiat,minicompact,1.4,4,M5,gasoline,8.0,6.5,7.3,39,171
3622,fiat,minicompact,1.4,4,M5,gasoline,7.7,6.1,7.0,40,163
3623,fiat,minicompact,1.4,4,A6,gasoline,9.7,7.4,8.7,32,202
3624,fiat,minicompact,1.4,4,M5,gasoline,8.5,7.1,7.9,36,186
3627,fiat,stationwagon_small,1.4,4,A6,gasoline,10.7,7.9,9.4,30,221
3628,fiat,suv_small,1.4,4,M6,gasoline,9.5,7.1,8.4,34,197
3629,fiat,suv_small,2.4,4,A9,gasoline,10.7,7.7,9.3,30,219
